epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7367.5,0.61959,0.68674,1.01196,0.94403,0.88015,0.95402,0.78465,0.68261,0.42702,1.00955,0.000310556,0.000310556,0.000310556
43,7507.01,0.61839,0.66283,1.00382,0.91658,0.9021,0.95454,0.78449,0.67856,0.43677,1.00553,0.000305301,0.000305301,0.000305301
44,7646.38,0.61766,0.6786,1.00437,0.95524,0.89261,0.95963,0.79408,0.65652,0.41241,0.98545,0.000300046,0.000300046,0.000300046
45,7786.7,0.63038,0.66911,1.01288,0.92801,0.90215,0.95712,0.77905,0.7052,0.42544,1.02109,0.000294791,0.000294791,0.000294791
46,7926.69,0.60986,0.66034,1.00424,0.94579,0.89287,0.96207,0.78635,0.69979,0.42014,1.02601,0.000289537,0.000289537,0.000289537
47,8074.62,0.60987,0.64863,1.00529,0.94353,0.91586,0.96069,0.79882,0.65587,0.40892,0.98366,0.000284282,0.000284282,0.000284282
48,8204.12,0.61543,0.65595,1.00711,0.95847,0.90227,0.96254,0.78396,0.70112,0.40779,1.0262,0.000279027,0.000279027,0.000279027
49,8329.26,0.59684,0.63542,0.9968,0.9218,0.92607,0.96155,0.80344,0.64629,0.40283,0.9823,0.000273772,0.000273772,0.000273772
50,8453.8,0.59571,0.6465,0.99692,0.93705,0.91849,0.96115,0.79939,0.65666,0.39589,0.97578,0.000268518,0.000268518,0.000268518
51,8578.36,0.60005,0.63219,0.99413,0.95184,0.91557,0.9647,0.79219,0.67103,0.40446,0.99138,0.000263263,0.000263263,0.000263263
52,8717.95,0.59748,0.62485,1.00147,0.95222,0.92096,0.96476,0.80679,0.62128,0.38698,0.96312,0.000258008,0.000258008,0.000258008
53,8859.61,0.59558,0.62002,0.99382,0.94563,0.91238,0.96431,0.7956,0.64889,0.4051,0.9809,0.000252754,0.000252754,0.000252754
54,9001.16,0.59315,0.61797,0.99909,0.95214,0.91627,0.96559,0.80932,0.62793,0.39225,0.97157,0.000247499,0.000247499,0.000247499
55,9145.1,0.59422,0.61039,0.99629,0.92971,0.93566,0.96319,0.80673,0.62159,0.38582,0.96176,0.000242244,0.000242244,0.000242244
56,9289.75,0.58585,0.60131,0.99758,0.94334,0.92073,0.96587,0.8054,0.63227,0.38758,0.97328,0.000236989,0.000236989,0.000236989
57,9422.07,0.59083,0.61123,0.99,0.93366,0.93609,0.97028,0.80727,0.64523,0.37791,0.98084,0.000231735,0.000231735,0.000231735
58,9546.88,0.59275,0.61504,0.99531,0.92083,0.91256,0.9605,0.80262,0.63238,0.39313,0.96719,0.00022648,0.00022648,0.00022648
59,9671.36,0.58361,0.59447,0.9963,0.92596,0.91246,0.9616,0.79502,0.63653,0.38669,0.97343,0.000221225,0.000221225,0.000221225
60,9796.08,0.5884,0.60853,0.99454,0.95279,0.90831,0.9668,0.80601,0.63616,0.37551,0.97571,0.00021597,0.00021597,0.00021597
61,9927.12,0.57996,0.59358,0.98432,0.94645,0.9203,0.96833,0.80562,0.6392,0.37567,0.97525,0.000210716,0.000210716,0.000210716
62,10055.4,0.5772,0.59619,0.99171,0.9492,0.93044,0.96762,0.80479,0.64738,0.38482,0.98068,0.000205461,0.000205461,0.000205461
63,10184.6,0.5695,0.57386,0.98671,0.96426,0.90856,0.96573,0.80494,0.66355,0.38467,0.99634,0.000200206,0.000200206,0.000200206
64,10313,0.57581,0.56626,0.99053,0.95365,0.92323,0.96604,0.80451,0.65508,0.37893,0.97923,0.000194951,0.000194951,0.000194951
65,10441.7,0.58521,0.57195,0.98883,0.93083,0.92328,0.96727,0.81083,0.62656,0.37376,0.96412,0.000189697,0.000189697,0.000189697
66,10570.4,0.58191,0.58842,0.98816,0.93188,0.92554,0.96525,0.80748,0.62497,0.37749,0.96802,0.000184442,0.000184442,0.000184442
67,10698.3,0.56702,0.56469,0.98246,0.93835,0.9275,0.9684,0.80825,0.64051,0.36792,0.98113,0.000179187,0.000179187,0.000179187
68,10826.7,0.55448,0.55462,0.98204,0.94327,0.93077,0.96605,0.81306,0.62028,0.36689,0.96252,0.000173932,0.000173932,0.000173932
69,10954.4,0.56933,0.56407,0.98658,0.94572,0.93092,0.96678,0.81547,0.60658,0.3586,0.95824,0.000168678,0.000168678,0.000168678
70,11084.7,0.56222,0.55921,0.98139,0.95479,0.9225,0.96505,0.81436,0.62252,0.36328,0.96357,0.000163423,0.000163423,0.000163423
71,11214.6,0.56067,0.56214,0.98004,0.94707,0.9128,0.9662,0.8096,0.63295,0.36871,0.97504,0.000158168,0.000158168,0.000158168
72,11344,0.56046,0.55207,0.97977,0.94744,0.93562,0.9694,0.81603,0.605,0.35812,0.95324,0.000152913,0.000152913,0.000152913
73,11473.4,0.55041,0.54539,0.9689,0.95863,0.91827,0.96719,0.81124,0.62295,0.36063,0.97091,0.000147659,0.000147659,0.000147659
74,11602.7,0.54906,0.54004,0.97515,0.95538,0.9143,0.96823,0.80581,0.63081,0.36142,0.96759,0.000142404,0.000142404,0.000142404
75,11731.2,0.55156,0.53685,0.97518,0.9426,0.93343,0.96793,0.81149,0.6244,0.36313,0.97355,0.000137149,0.000137149,0.000137149
76,11859.9,0.55013,0.54445,0.97353,0.95526,0.93338,0.9693,0.81898,0.60345,0.35243,0.95389,0.000131894,0.000131894,0.000131894
77,11989.2,0.54957,0.53932,0.97535,0.94804,0.93609,0.96879,0.81828,0.6068,0.35291,0.95591,0.00012664,0.00012664,0.00012664
78,12118.3,0.54949,0.53139,0.97498,0.95732,0.92556,0.96701,0.81865,0.59596,0.35893,0.95029,0.000121385,0.000121385,0.000121385
79,12247.7,0.54198,0.52241,0.97453,0.93676,0.94041,0.96729,0.81805,0.605,0.36199,0.95834,0.00011613,0.00011613,0.00011613
80,12377.1,0.53367,0.53065,0.97544,0.93595,0.94599,0.96925,0.81311,0.608,0.35135,0.96395,0.000110876,0.000110876,0.000110876
81,12505.7,0.54008,0.52868,0.97378,0.95189,0.93804,0.96796,0.81704,0.60075,0.34512,0.95507,0.000105621,0.000105621,0.000105621
82,12635.3,0.52939,0.51842,0.96281,0.95171,0.9319,0.96692,0.81656,0.59621,0.34526,0.94929,0.000100366,0.000100366,0.000100366
83,12764.3,0.53421,0.5083,0.96527,0.92939,0.94704,0.96815,0.8137,0.6102,0.34792,0.96235,9.51113e-05,9.51113e-05,9.51113e-05
84,12893.3,0.54093,0.51532,0.96671,0.9377,0.94303,0.96982,0.81947,0.59449,0.34631,0.94851,8.98566e-05,8.98566e-05,8.98566e-05
85,13023.4,0.53434,0.51315,0.96629,0.95473,0.9234,0.96866,0.8198,0.60656,0.34725,0.96187,8.46018e-05,8.46018e-05,8.46018e-05
86,13152.6,0.53471,0.5103,0.96912,0.95178,0.94356,0.97004,0.81992,0.60003,0.34433,0.95478,7.93471e-05,7.93471e-05,7.93471e-05
87,13282.4,0.52209,0.50332,0.9656,0.95554,0.93622,0.96973,0.82036,0.598,0.3373,0.95632,7.40924e-05,7.40924e-05,7.40924e-05
88,13411.7,0.53068,0.49202,0.96499,0.95222,0.94427,0.96772,0.81788,0.58581,0.33895,0.948,6.88376e-05,6.88376e-05,6.88376e-05
89,13541.3,0.52676,0.50173,0.96431,0.93624,0.94839,0.97026,0.81651,0.6022,0.34051,0.95647,6.35829e-05,6.35829e-05,6.35829e-05
90,13670.5,0.52945,0.49329,0.96239,0.93068,0.94777,0.96945,0.82285,0.58993,0.33714,0.94879,5.83281e-05,5.83281e-05,5.83281e-05
91,13796.1,0.50755,0.31459,0.91891,0.93448,0.95002,0.97166,0.82414,0.5954,0.33554,0.94922,5.30734e-05,5.30734e-05,5.30734e-05
92,13921.7,0.50415,0.31246,0.92201,0.9327,0.95073,0.97024,0.82146,0.59559,0.33281,0.95129,4.78187e-05,4.78187e-05,4.78187e-05
93,14046.8,0.50106,0.30009,0.91422,0.94285,0.94319,0.97132,0.82436,0.59343,0.33596,0.95047,4.25639e-05,4.25639e-05,4.25639e-05
94,14172.3,0.49826,0.299,0.91384,0.94468,0.93816,0.97178,0.82354,0.5945,0.33372,0.95173,3.73092e-05,3.73092e-05,3.73092e-05
95,14297.9,0.49198,0.29678,0.91137,0.94463,0.93912,0.96992,0.82244,0.59054,0.32705,0.94594,3.20544e-05,3.20544e-05,3.20544e-05
96,14430.1,0.4966,0.29781,0.91789,0.945,0.94266,0.97107,0.82447,0.58856,0.32846,0.94448,2.67997e-05,2.67997e-05,2.67997e-05
97,14555.2,0.48815,0.2924,0.90726,0.93815,0.9457,0.97014,0.82473,0.58968,0.32827,0.94662,2.1545e-05,2.1545e-05,2.1545e-05
98,14680.6,0.4819,0.28572,0.91162,0.9382,0.94593,0.9715,0.82511,0.58783,0.32487,0.94724,1.62902e-05,1.62902e-05,1.62902e-05
99,14806.1,0.48455,0.2882,0.90611,0.93772,0.94676,0.97103,0.82197,0.58682,0.32358,0.94654,1.10355e-05,1.10355e-05,1.10355e-05
100,14933.1,0.48279,0.28464,0.90706,0.93477,0.9467,0.97222,0.82655,0.58339,0.324,0.94395,5.78074e-06,5.78074e-06,5.78074e-06
